,OS,Remission,pCR,pRelapse
ERBB2,0.33237828371262473,0.3650832813129065,0.5665391471821135,0.261638882222766
ERBB2.pY1248,0.4731097931666229,0.2348824762065995,0.2588814571522955,0.2956260336158299
ERBB3,0.38946398173476404,0.254497637962709,0.36998474918015556,0.3755545538156654
ERG,0.4770933776250861,2.0,0.4382824792161443,0.33916151399247413
Fli1,0.4984737125109852,0.44917533768314793,0.377652213609849,0.2137119241049761
FN1,0.36046460431742705,0.22635692812158117,0.4723507461222106,0.3154658252051588
FOXO1.pT24_FOXO3.pT32,0.33000179833722065,0.2873833409751742,0.34671623725753853,0.3040153368358143
FOXO3,0.5963667220313574,0.34084505084291394,0.3886041278045347,0.3286720133128097
FOXO3.S318_321,0.7764357979310949,0.27386393772734513,0.3290742183175988,0.3463995627825763
GAB2,0.3974122262599633,0.3055244143742321,0.4247273906404849,0.36656038389690604
GAB2.pY452,0.4176643127181313,0.4010007938661798,0.3747254089543727,0.2907098691364065
GAPDH,0.29784292026505366,0.2317708103548106,2.0,0.39238455503780173
GATA1,0.32990434550721537,2.0,0.4210508335594887,0.24028060612294838
GATA3,0.35314609953402154,0.2683866589727982,2.0,0.47105765832288093
GRP78,0.47310979316662294,0.29342564756501255,0.4045022768004618,0.3016592179753366
GSKA_B,0.5028263153592675,0.3709180778426324,0.4125079631784013,0.3053397616800549
GSKA_B.pS21_9,0.35314609953402165,0.3435072318900619,2.0,0.3605710845632493
H3histon,2.0,0.4187179185092274,0.5196623370854137,0.30044364305253224
H3K27Me3,2.0,0.5047046339173726,0.3520445926945885,0.35335966287198417
H3K4Me2,0.40716339754796543,0.2944347701914817,0.33589386390912745,0.18692005023758854
H3K4Me3,0.45621301483924354,0.3436134637054571,0.3494242753918252,0.34759086844894743
HDAC1,0.439653814434689,0.38946398173476404,0.5266391239650646,0.4086900275707788
HDAC2,0.3005323932726227,0.354794248117499,0.3384127172501157,0.2724269910691024
HDAC3,0.32461433413610846,0.36349971628577965,0.5310734253888502,0.41213119760292477
HIF1A,0.4123804318840191,0.3634997162857797,0.5781011705939935,0.24832586823729716
HNRNPK,0.4691594704256392,0.3408450508429139,0.42301589656264466,0.28630984270804766
HSP90AA1_B1,2.0,0.25544831938445944,0.4624809364751947,0.39409395515753676
HSPA1A_L,0.3323782837126247,2.0,0.5151639970036561,0.3800191710447676
HSPB1,0.4542341705256353,0.404132823246339,2.0,0.25018805302264496
IGF1R,0.4245960815780597,0.4243394644086558,0.37483610180239013,0.33103892233233073
IGFBP2,0.5129294501738036,2.0,2.0,0.48835321189672515
INPP5D,0.3420172539402909,0.4191007055887957,0.4474974779122836,0.36656038389690593
INPPL1,0.46552348452984044,0.25969146730888687,0.34671623725753875,0.331038922332331
IRS1.pS1101,0.4041328232463391,0.3534689416148736,0.3196067372250561,0.2944347701914815
ITGA2,0.6180805972521037,0.38178744775003554,2.0,0.24617629123948315
ITGAL,0.5766968768927128,0.3192161036776048,2.0,0.30648036495274017
ITGB3,0.4947635027223113,0.30533976168005494,0.3762415229431212,0.29070986913640645
JMJD6,0.4206662653237908,2.0,0.537054634642205,0.3546845596417831
JUNB,0.48924651375249667,0.28746823321820103,0.5709641191051782,0.36349971628577965
JUN.pS73,0.5699216113042261,0.34650668906985704,0.42657769041170185,0.33779481870646016
KDR,0.3270486027784574,0.219091150181876,0.3018458269230753,0.2919763294971158
KIT,0.3423299221591813,0.3927432684609707,0.2797084703801978,0.2815486034436474
LCK,0.48291439327104047,0.4021366889362619,0.2707301738000926,0.2979350300990979
LEF1,0.5177211785740706,0.24050026787476012,0.38048421098220975,0.21719463694224236
