,OS,Remission,pCR,pRelapse
EIF4E,0.71442,0.605165749776,1.4256893043001144,0.98
ELK1.pS383,0.8470728,0.5342441450408285,0.5611298316438974,0.7235739507058087
ERBB2,0.5337561913024321,0.4468185432625134,0.6491853297745124,0.8894264399999998
ERBB2.pY1248,0.78447412008,0.6254283800320728,0.5383115729562753,0.732175845408
ERBB3,0.441165831586704,0.38298732279644004,0.5542023028581704,0.6510152250000003
ERG,0.605165749776,0.386212076054386,0.5731049082120199,0.9081268532576102
Fli1,0.6202062434621216,0.4086900275707789,0.5543660126835924,0.8648827173882
FN1,0.5884662009109316,0.6229081353006841,0.546144276704511,1.0594813288005451
FOXO1.pT24_FOXO3.pT32,0.7204354164000001,2.0,0.7814727608500748,0.8825333850899999
FOXO3,0.533756191302432,0.5405952745645223,0.454515163631557,0.5580130500000002
FOXO3.S318_321,0.7031816819298432,0.6328635137368589,0.8837940672006387,0.9805926501000003
GAB2,0.5954619258000001,0.5651629393548584,0.601210533904176,0.794280046581
GAB2.pY452,0.8716379111999998,0.6006614161828026,0.521610773831687,0.7471182095999999
GAPDH,0.567106596,0.5427824869564057,0.7390157486173831,0.854205152976
GATA1,0.6330504598661253,0.5792092227477026,0.5477127094467302,0.98
GATA3,0.7972581427775999,0.6810220138127013,0.5564445683781535,0.88253338509
GRP78,0.7687846376784,0.5342441450408286,0.4140546322675932,0.8716379111999999
GSKA_B,0.5103959364,0.5023670572043185,0.6030368508717846,0.94911683664
GSKA_B.pS21_9,0.6808114684980001,0.43234251495496995,0.5987878781231101,0.6175160712000001
H3histon,0.5812011860848704,0.472823855304247,0.7694874517048969,0.854205152976
H3K27Me3,0.5718816335383201,0.744557595276277,0.5991499920984659,0.726501482606088
H3K4Me2,0.7001316000000001,0.5793883469160281,0.360464604317427,0.8613975603640579
H3K4Me3,0.5839055878538716,0.5768752241019636,0.4525436838233404,0.7294408591050002
HDAC1,0.7204354164000001,0.6485923941073344,2.0,0.9450000000000001
HDAC2,0.6354240372648,0.3377948187064601,0.5750758781494351,1.3627578591697012
HDAC3,0.5604440008675536,0.6463694594321133,0.7070352537605107,0.9010888701448637
HIF1A,0.5557644640800001,0.5817325134889021,0.5891863232260924,0.605165749776
HNRNPK,0.6751269000000001,0.7878916352129918,0.5634001254828804,0.9411919999999999
HSP90AA1_B1,0.78447412008,0.525359839226941,1.2237849914550532,0.73513818
HSPA1A_L,0.5043996007807983,0.5699216113042264,0.469074211803311,0.7534089449248319
HSPB1,0.7001316000000001,0.5470219067335912,0.9827727089553757,1.1583250679306252
IGF1R,0.5208121800000001,2.0,0.741776357903252,1.0512703485023407
IGFBP2,0.37369957622647787,0.5212883004729323,0.6382647341570458,0.8648827173881999
INPP5D,0.583552687284,0.754097702670799,0.7014122895548719,0.5126194461268558
INPPL1,0.6175160712000001,0.6512165556352276,0.6415584408461894,0.7659129020602503
IRS1.pS1101,0.5557644640800001,0.49446447780168296,0.8224370225127504,0.9075780000000001
ITGA2,0.706453674193573,0.49646504806945935,0.5886481878591464,0.7355827511386642
ITGAL,0.622715556519504,0.5384168758284992,0.5937881816337539,0.8716379112
ITGB3,0.7534089449248319,0.6618289735789128,0.582264326626303,0.8203786289181504
JMJD6,0.7656867203236069,0.5470219067335914,0.523875881985995,0.680811468498
JUNB,0.622715556519504,0.7599876066221203,0.5128828416664529,0.7119714529539662
JUN.pS73,0.5581856191159095,0.40869002757077905,0.4809684271233407,0.9648688612500003
KDR,0.500188017672,0.5837331546966011,0.5869321254595941,0.9044674383822606
KIT,0.5718816335383199,0.6381922245225231,0.5153233147750079,0.8004837959999999
LCK,0.38910826345947297,0.6409724712244039,0.5792750308967832,0.6516103755911655
LEF1,0.67240638864,0.4613575015141701,0.5791565915772617,0.8135287171199999
LGALS3,0.5446491747984,0.48247332173902746,0.5748458477981754,0.8825333850899999
LSD1,0.7471182096,0.4824733217390275,0.5496872721170154,0.8405079858000001
LYN,0.7471182095999999,0.6006614161828027,0.5092690903437055,0.7910793921710736
MAP2K1,0.3796720792200001,0.6281530217999158,0.7222465831492422,0.8334900000000001
MAP2K1_2.pS217_221,0.5337561913024321,0.5651629393548583,0.4042578039148333,0.9766412249025599
MAPK1,0.6076142100000002,0.7121916346937822,0.4560782905752991,1.1211442632809998
MAPK1_3.pT202Y204,0.5337561913024319,0.5475219878356468,0.6788978210012587,0.8339940489100502
MAPK14,0.45935634276000004,0.6180805972521038,0.5453156770105904,0.8475850630404359
MAPK14.pT180Y182,0.6724063886400001,0.49446447780168307,0.4090636472684014,0.7817854750400909
